Months_as_a_Customer	Number_of_Products	RFM_Score	Average_Balance_Feed_Index	Number_of_Transactions	Personal_Debt_to_Equity_Ratio	Months_Current_Account	Number_of_Loan_Accounts	Customer_ID	Has_Bad_Payment_Record	Members_Within_Household	Number_of_Call_Center_Contacts	Weeks_Since_Last_Offer	Accepted_Personal_Loan	Accepted_Retention	Accepted_Home_Equity_Loan	Accepted_Credit_Card	Annual_value	Interested_in_Personal_Loan	Interested_in_Retention	Interested_in_Home_Equity_Loan	Interested_in_Credit_Card
24	3	10	229	2	40	13	0	5409	0	5	9	17	F	F	F	F	90	F	F	F	F
12	2	12	8	1	47	5	2	5477	0	4	9	22	F	F	F	F	260	F	F	F	F
36	0	0	0	0	35	31	0	5507	0	4	0	27	F	F	T	T	0	F	F	T	F
0	0	0	0	0	45	-3	0	8	0	1	11	51	F	F	F	F	0	F	T	F	F
48	0	0	0	0	13	39	0	158	0	6	11	8	F	F	F	F	0	F	F	T	F
12	2	12	119	1	45	6	3	173	0	5	9	32	T	F	F	F	360	F	T	F	F
12	0	0	0	0	40	5	0	5408	0	4	7	16	F	F	F	F	0	F	F	T	F
36	0	0	0	0	36	28	0	5579	0	1	8	21	F	F	T	F	0	F	F	F	F
12	1	8	179	1	26	8	0	5695	0	5	10	34	F	F	F	F	30	F	F	F	T
36	2	10	120	1	33	25	1	5732	0	5	9	46	F	F	F	F	160	F	F	T	F
24	0	0	0	0	64	14	0	5747	0	7	0	48	F	F	F	F	0	F	F	F	F
12	2	13	219	1	43	7	1	5832	0	3	8	32	F	F	F	F	160	F	F	F	F
12	0	0	0	0	37	6	3	5803	0	5	10	14	T	F	F	F	300	F	F	F	F
24	4	11	279	1	35	19	0	5833	0	3	8	28	F	F	F	F	120	F	F	F	F
12	3	8	84	1	59	8	0	5960	0	4	11	46	F	T	T	F	90	F	F	F	F
36	2	10	139	1	15	26	0	323	0	3	11	49	F	F	F	T	60	F	F	T	F
24	0	0	0	0	52	12	3	442	0	6	10	41	F	F	F	F	300	F	T	F	F
24	2	12	120	1	41	20	0	6101	0	3	11	30	T	T	T	T	60	F	F	F	F
0	0	0	0	0	78	-5	0	6331	0	3	9	9	F	F	F	T	0	F	F	F	F
24	0	0	0	0	37	16	0	6366	0	3	10	12	F	F	F	F	0	F	F	F	F
12	0	0	0	0	58	5	0	539	0	7	8	43	F	F	F	F	0	F	F	F	T
36	5	13	229	3	48	33	0	6337	0	5	11	5	F	F	F	F	150	F	F	F	F
24	0	0	0	0	32	13	4	742	0	2	10	49	F	T	F	F	400	F	F	F	T
0	0	0	0	0	49	-2	5	959	0	4	5	42	F	F	F	F	500	F	F	F	F
36	4	8	699	1	52	27	1	6882	0	6	10	31	F	F	F	F	220	F	T	F	F
